name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat
Albert Chatigny Community Center,1310 OAK VALLEY PARKWAY BEAUMONT CA 92223,False,Locality wide location,False,-116.96378,33.94735
Alta Murrieta Elementary School Multi-Pu,39475 WHITEWOOD ROAD MURRIETA CA 92563,False,Locality wide location,False,-117.16875,33.5661
Anza Library Community Room,57430 MITCHELL ROAD ANZA CA 92539,False,Locality wide location,False,-116.65978,33.57025
Arlanza Community Center Conference Room,7950 PHILBIN AVENUE RIVERSIDE CA 92503,False,Locality wide location,False,-117.45975,33.93848
Arlington Library Community Room,9556 MAGNOLIA AVENUE RIVERSIDE CA 92503,False,Locality wide location,False,-117.44742,33.91951
Avalon Park Community Center Meeting Roo,2500 AVALON STREET JURUPA VALLEY CA 92509,False,Locality wide location,False,-117.39337,34.01581
Avaxat Elementary School Multi-Purpose R,24300 LAS BRISAS ROAD MURRIETA CA 92562,False,Locality wide location,False,-117.18876,33.58478
Banning Senior Center Multi-Purpose Room,769 N SAN GORGONIO AVENUE BANNING CA 92220,False,Locality wide location,False,-116.87703,33.93234
Bautista Creek Elementary School Library,441 N LAKE STREET HEMET CA 92544,False,Locality wide location,False,-116.91556,33.75424
Beaumont Civic Center Gymnasium,550 E 6TH STREET BEAUMONT CA 92223,False,Locality wide location,False,-116.95877,33.91986
Ben Franklin Elementary School Multi-Pur,2650 OAK AVENUE CORONA CA 92882,False,Locality wide location,False,-117.59347,33.85212
Blythe Community Center Banquet Room,445 N BROADWAY BLYTHE CA 92225,False,Locality wide location,False,-114.59753,33.61707
Boulder Ridge Elementary School Multi-Pu,27327 JUNIPERO ROAD MENIFEE CA 92585,False,Locality wide location,False,-117.16034,33.72307
Boys & Girls Club of Cathedral City Gymn,32141 WHISPERING PALMS TRAIL CATHEDRAL CITY CA 92234,False,Locality wide location,False,-116.47171,33.81533
Camp Ronald McDonald for Good Times Fell,56400 APPLE CANYON ROAD MOUNTAIN CENTER CA 92561,False,Locality wide location,False,-116.67551,33.67598
Camper Resorts of America Clubhouse,375 E RAMONA EXPRESSWAY PERRIS CA 92571,False,Locality wide location,False,-117.2198,33.84349
Canyon Lake Country Club Magnolia Room,32001 RAILROAD CANYON ROAD CANYON LAKE CA 92587,False,Locality wide location,False,-117.2607,33.67397
Canyon Lake Middle School Multi-Purpose,33005 CANYON HILLS ROAD LAKE ELSINORE CA 92532,False,Locality wide location,False,-117.26352,33.66685
Cathedral City Hall Study Session Room,68700 AVENIDA LALO GUERRERO CATHEDRAL CITY CA 92234,False,Locality wide location,False,-116.46406,33.78141
Cesar Chavez Community Center Auditorium,2060 UNIVERSITY AVENUE RIVERSIDE CA 92507,False,Locality wide location,False,-117.35614,33.97503
Cherry Valley Grange Hall Oak Hall,10478 BEAUMONT AVENUE CHERRY VALLEY CA 92223,False,Locality wide location,False,-116.97683,33.96899
Circle City Center Corona Room North,365 N MAIN STREET CORONA CA 92880,False,Locality wide location,False,-117.56454,33.88451
Coachella Branch Library Large Meeting R,1500 6TH STREET COACHELLA CA 92236,False,Locality wide location,False,-116.17611,33.67888
Coachella Community Center Bagdouma Park,51251 DOUMA STREET COACHELLA CA 92236,False,Locality wide location,False,-116.18879,33.67472
Corona High School Foyer,1150 W 10TH STREET CORONA CA 92882,False,Locality wide location,False,-117.58545,33.87259
